employee_id,floor_1_pct_long_term,floor_2_pct_long_term,floor_3_pct_long_term,floor_4_pct_long_term,floor_5_pct_long_term,floor_1_pct_recent,floor_2_pct_recent,floor_3_pct_recent,floor_4_pct_recent,floor_5_pct_recent,floor_shift_pct
E0001,13.846153846153847,75.38461538461539,4.615384615384616,1.5384615384615385,4.615384615384616,25.0,75.0,0.0,0.0,0.0,11.153846153846157
E0002,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
E0003,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
E0004,92.85714285714286,3.571428571428571,3.571428571428571,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.142857142857141
E0005,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
E0006,4.878048780487805,4.878048780487805,78.04878048780488,4.878048780487805,7.317073170731707,0.0,25.0,50.0,0.0,25.0,37.80487804878049
E0007,0.0,0.0,3.125,96.875,0.0,0.0,0.0,0.0,100.0,0.0,3.125
E0008,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
E0009,22.22222222222222,77.77777777777779,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,22.222222222222218
E0010,63.33333333333333,10.0,16.666666666666664,10.0,0.0,60.0,40.0,0.0,0.0,0.0,29.999999999999996
E0011,3.0303030303030303,3.0303030303030303,6.0606060606060606,15.151515151515152,72.72727272727273,0.0,0.0,16.666666666666664,0.0,83.33333333333334,21.21212121212121
E0012,2.5316455696202533,5.063291139240507,3.79746835443038,17.72151898734177,70.88607594936708,0.0,0.0,0.0,11.11111111111111,88.88888888888889,18.002812939521803
E0013,89.1891891891892,8.108108108108109,2.7027027027027026,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.810810810810809
E0014,68.42105263157895,10.526315789473683,7.894736842105263,10.526315789473683,2.631578947368421,75.0,0.0,0.0,0.0,25.0,28.94736842105263
E0015,2.631578947368421,97.36842105263158,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,97.36842105263158
E0017,0.0,0.0,2.941176470588235,8.823529411764707,88.23529411764706,0.0,0.0,0.0,16.666666666666664,83.33333333333334,7.843137254901954
E0018,6.0606060606060606,90.9090909090909,0.0,3.0303030303030303,0.0,0.0,100.0,0.0,0.0,0.0,9.090909090909092
E0019,0.0,1.5873015873015872,96.82539682539682,1.5873015873015872,0.0,0.0,0.0,100.0,0.0,0.0,3.1746031746031758
E0020,0.0,95.1219512195122,4.878048780487805,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.878048780487804
E0021,0.0,2.564102564102564,0.0,7.6923076923076925,89.74358974358975,0.0,0.0,0.0,0.0,100.0,10.256410256410252
