employee_id,Conference_long_term,Focus_long_term,Meeting_long_term,Training_long_term,Conference_recent,Focus_recent,Meeting_recent,Training_recent,room_type_shift_pct
E0001,0.0,7.6923076923076925,89.23076923076924,3.076923076923077,0.0,0.0,100.0,0.0,10.769230769230765
E0002,40.0,0.0,60.0,0.0,0.0,0.0,100.0,0.0,40.0
E0003,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
E0004,7.142857142857142,3.571428571428571,82.14285714285714,7.142857142857142,0.0,0.0,100.0,0.0,17.85714285714286
E0005,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
E0006,87.8048780487805,4.878048780487805,4.878048780487805,2.4390243902439024,100.0,0.0,0.0,0.0,12.195121951219509
E0007,90.625,0.0,9.375,0.0,100.0,0.0,0.0,0.0,9.375
E0008,7.894736842105263,0.0,86.8421052631579,5.263157894736842,0.0,0.0,100.0,0.0,13.1578947368421
E0009,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
E0010,10.0,3.3333333333333335,83.33333333333334,3.3333333333333335,0.0,0.0,100.0,0.0,16.666666666666664
E0011,57.57575757575758,6.0606060606060606,18.181818181818183,18.181818181818183,66.66666666666666,0.0,16.666666666666664,16.666666666666664,9.090909090909088
E0012,5.063291139240507,6.329113924050633,84.81012658227847,3.79746835443038,11.11111111111111,11.11111111111111,77.77777777777779,0.0,10.829817158931073
E0013,5.405405405405405,8.108108108108109,83.78378378378379,2.7027027027027026,16.666666666666664,0.0,83.33333333333334,0.0,11.261261261261257
E0014,89.47368421052632,5.263157894736842,5.263157894736842,0.0,100.0,0.0,0.0,0.0,10.526315789473685
E0015,97.36842105263158,0.0,0.0,2.631578947368421,100.0,0.0,0.0,0.0,2.631578947368423
E0017,94.11764705882352,2.941176470588235,0.0,2.941176470588235,100.0,0.0,0.0,0.0,5.882352941176475
E0018,6.0606060606060606,87.87878787878788,0.0,6.0606060606060606,0.0,100.0,0.0,0.0,12.121212121212125
E0019,0.0,1.5873015873015872,92.06349206349206,6.349206349206349,0.0,0.0,100.0,0.0,7.936507936507937
E0020,9.75609756097561,4.878048780487805,80.48780487804879,4.878048780487805,25.0,0.0,75.0,0.0,15.243902439024396
E0021,12.82051282051282,2.564102564102564,76.92307692307693,7.6923076923076925,0.0,33.33333333333333,66.66666666666666,0.0,30.769230769230777
E0023,88.37209302325581,6.976744186046512,2.3255813953488373,2.3255813953488373,66.66666666666666,0.0,0.0,33.33333333333333,31.007751937984498
E0024,84.50704225352112,7.042253521126761,5.633802816901409,2.8169014084507045,100.0,0.0,0.0,0.0,15.492957746478876
E0025,2.4390243902439024,7.317073170731707,80.48780487804879,9.75609756097561,0.0,0.0,100.0,0.0,19.512195121951216
E0026,2.272727272727273,84.0909090909091,9.090909090909092,4.545454545454546,25.0,75.0,0.0,0.0,22.72727272727273
E0027,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
E0029,5.405405405405405,0.0,94.5945945945946,0.0,0.0,0.0,100.0,0.0,5.405405405405404
E0030,5.714285714285714,0.0,94.28571428571428,0.0,0.0,0.0,100.0,0.0,5.714285714285719
E0031,0.0,6.0606060606060606,90.9090909090909,3.0303030303030303,0.0,33.33333333333333,66.66666666666666,0.0,27.272727272727273
E0032,6.122448979591836,2.0408163265306123,87.75510204081633,4.081632653061225,0.0,0.0,100.0,0.0,12.244897959183673
E0033,75.0,18.75,3.125,3.125,100.0,0.0,0.0,0.0,25.0
E0034,6.521739130434782,4.3478260869565215,86.95652173913044,2.1739130434782608,0.0,0.0,100.0,0.0,13.043478260869565
E0035,6.25,0.0,90.625,3.125,0.0,0.0,100.0,0.0,9.375
E0036,3.225806451612903,96.7741935483871,0.0,0.0,0.0,100.0,0.0,0.0,3.2258064516129
E0037,95.16129032258065,1.6129032258064515,1.6129032258064515,1.6129032258064515,100.0,0.0,0.0,0.0,4.8387096774193505
E0038,13.88888888888889,58.333333333333336,16.666666666666664,11.11111111111111,0.0,66.66666666666666,33.33333333333333,0.0,24.999999999999993
E0039,5.970149253731343,4.477611940298507,83.5820895522388,5.970149253731343,0.0,0.0,80.0,20.0,14.029850746268654
E0040,1.9607843137254901,1.9607843137254901,96.07843137254902,0.0,0.0,0.0,100.0,0.0,3.9215686274509807
E0041,94.44444444444444,0.0,0.0,5.555555555555555,66.66666666666666,0.0,0.0,33.33333333333333,27.77777777777778
E0042,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
E0044,80.85106382978722,8.51063829787234,4.25531914893617,6.382978723404255,71.42857142857143,28.57142857142857,0.0,0.0,20.060790273556226
E0045,85.18518518518519,7.4074074074074066,3.7037037037037033,3.7037037037037033,100.0,0.0,0.0,0.0,14.81481481481481
E0046,4.651162790697675,2.3255813953488373,87.20930232558139,5.813953488372093,0.0,0.0,100.0,0.0,12.790697674418606
E0047,84.93150684931507,6.8493150684931505,5.47945205479452,2.73972602739726,100.0,0.0,0.0,0.0,15.068493150684931
E0048,2.941176470588235,8.823529411764707,88.23529411764706,0.0,0.0,100.0,0.0,0.0,91.17647058823529
E0049,0.0,2.380952380952381,97.61904761904762,0.0,0.0,0.0,100.0,0.0,2.3809523809523805
E0050,11.76470588235294,5.88235294117647,76.47058823529412,5.88235294117647,25.0,0.0,50.0,25.0,32.35294117647059
E0051,6.451612903225806,9.67741935483871,74.19354838709677,9.67741935483871,0.0,40.0,60.0,0.0,30.32258064516129
E0052,4.411764705882353,5.88235294117647,83.82352941176471,5.88235294117647,0.0,0.0,100.0,0.0,16.17647058823529
E0053,0.0,79.41176470588235,14.705882352941178,5.88235294117647,0.0,50.0,0.0,50.0,44.11764705882352
E0054,93.93939393939394,3.0303030303030303,0.0,3.0303030303030303,100.0,0.0,0.0,0.0,6.060606060606062
E0055,97.05882352941177,2.941176470588235,0.0,0.0,100.0,0.0,0.0,0.0,2.9411764705882337
E0056,18.421052631578945,10.526315789473683,65.78947368421053,5.263157894736842,0.0,0.0,100.0,0.0,34.210526315789465
