employee_id,Conference_long_term,Focus_long_term,Meeting_long_term,Training_long_term,Conference_recent,Focus_recent,Meeting_recent,Training_recent,room_type_shift_pct,floor_1_pct_long_term,floor_2_pct_long_term,floor_3_pct_long_term,floor_4_pct_long_term,floor_5_pct_long_term,floor_1_pct_recent,floor_2_pct_recent,floor_3_pct_recent,floor_4_pct_recent,floor_5_pct_recent,floor_shift_pct,capacity_2_pct_long_term,capacity_4_pct_long_term,capacity_6_pct_long_term,capacity_8_pct_long_term,capacity_10_pct_long_term,capacity_12_pct_long_term,capacity_16_pct_long_term,capacity_2_pct_recent,capacity_4_pct_recent,capacity_6_pct_recent,capacity_8_pct_recent,capacity_10_pct_recent,capacity_12_pct_recent,capacity_16_pct_recent,capacity_shift_pct,start_hour_8_pct_long_term,start_hour_9_pct_long_term,start_hour_10_pct_long_term,start_hour_11_pct_long_term,start_hour_8_pct_recent,start_hour_9_pct_recent,start_hour_10_pct_recent,start_hour_11_pct_recent,start_hour_shift_pct
E0001,0.0,7.6923076923076925,89.23076923076924,3.076923076923077,0.0,0.0,100.0,0.0,10.769230769230765,13.846153846153848,75.38461538461539,4.615384615384616,1.5384615384615383,4.615384615384616,25.0,75.0,0.0,0.0,0.0,11.153846153846157,21.53846153846154,49.23076923076923,21.53846153846154,3.076923076923077,3.076923076923077,1.5384615384615383,0.0,25.0,50.0,25.0,0.0,0.0,0.0,0.0,7.692307692307689,13.846153846153848,72.3076923076923,13.846153846153848,0.0,50.0,50.0,0.0,0.0,36.15384615384615
E0002,40.0,0.0,60.0,0.0,0.0,0.0,100.0,0.0,40.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,10.0,0.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,80.0,20.0,0.0,0.0,100.0,0.0,0.0,20.0
E0003,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,57.14285714285714,42.85714285714285,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,42.85714285714286,28.57142857142857,71.42857142857143,0.0,0.0,0.0,100.0,0.0,0.0,28.57142857142857
E0004,7.142857142857142,3.571428571428571,82.14285714285714,7.142857142857142,0.0,0.0,100.0,0.0,17.85714285714286,92.85714285714286,3.571428571428571,3.571428571428571,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.142857142857141,0.0,14.285714285714285,50.0,25.0,0.0,7.142857142857142,3.571428571428571,0.0,0.0,100.0,0.0,0.0,0.0,0.0,49.99999999999999,10.714285714285714,71.42857142857143,17.857142857142858,0.0,50.0,50.0,0.0,0.0,39.285714285714285
E0005,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,12.5,0.0,0.0,12.5,62.5,12.5,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,37.5,12.5,25.0,62.5,0.0,0.0,50.0,50.0,0.0,25.0
E0006,87.8048780487805,4.878048780487805,4.878048780487805,2.4390243902439024,100.0,0.0,0.0,0.0,12.195121951219509,4.878048780487805,4.878048780487805,78.04878048780488,4.878048780487805,7.317073170731707,0.0,25.0,50.0,0.0,25.0,37.80487804878049,2.4390243902439024,36.58536585365854,29.268292682926827,17.073170731707318,4.878048780487805,4.878048780487805,4.878048780487805,0.0,50.0,25.0,0.0,0.0,0.0,25.0,33.536585365853654,0.0,14.634146341463412,73.17073170731707,12.195121951219512,0.0,25.0,50.0,25.0,23.170731707317078
E0007,90.625,0.0,9.375,0.0,100.0,0.0,0.0,0.0,9.375,0.0,0.0,3.125,96.875,0.0,0.0,0.0,0.0,100.0,0.0,3.125,3.125,0.0,0.0,15.625,53.125,21.875,6.25,0.0,0.0,0.0,0.0,75.0,25.0,0.0,25.0,0.0,18.75,62.5,18.75,0.0,25.0,50.0,25.0,12.5
E0008,7.894736842105263,0.0,86.8421052631579,5.263157894736842,0.0,0.0,100.0,0.0,13.1578947368421,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.631578947368421,5.263157894736842,15.789473684210526,57.89473684210527,15.789473684210526,0.0,2.631578947368421,0.0,100.0,0.0,0.0,0.0,0.0,0.0,94.73684210526316,0.0,7.894736842105263,81.57894736842105,10.526315789473683,0.0,0.0,100.0,0.0,18.421052631578945
E0009,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222,77.77777777777779,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,22.222222222222214,11.11111111111111,44.44444444444444,33.33333333333333,0.0,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0,0.0,0.0,0.0,66.66666666666667,77.77777777777779,22.22222222222222,0.0,0.0,100.0,0.0,0.0,0.0,22.222222222222214
E0010,10.0,3.333333333333333,83.33333333333334,3.333333333333333,0.0,0.0,100.0,0.0,16.666666666666664,63.33333333333333,10.0,16.666666666666664,10.0,0.0,60.0,40.0,0.0,0.0,0.0,30.0,0.0,3.333333333333333,0.0,33.33333333333333,40.0,20.0,3.333333333333333,0.0,0.0,0.0,60.0,40.0,0.0,0.0,26.666666666666668,73.33333333333333,26.666666666666668,0.0,0.0,80.0,20.0,0.0,0.0,6.66666666666667
